Page_ID,class,Q1_Saltwater,Q1_Sugarwater,Q1_Muddywater,Q1_Ink,Q1_MisoSoup,Q1_SoySauce,Q2_MisoSaltyReason,Q3_TeaLeaves_DissolveInWater,Q3_TeaComponents_DissolveInWater,Q4_ExperimentInterestRating,Q4_ExperimentInterestComment,Q5_NewLearningsRating,Q6_DissolvingUnderstandingRating,Q6_DissolvingUnderstandingComment,GeneralPageComments
1,1,True,True,False,False,False,True,みそにしおがはいっているから,False,True,4,,4,4,,楽しかった。
2,1,True,False,True,False,False,True,,False,True,4,,4,4,,
3,1,True,True,False,False,True,True,,False,True,4,,4,4,,
4,1,True,True,False,False,True,True,みそが水にとけているから。,False,True,4,,4,4,,
5,1,True,True,False,False,True,True,食塩が入っているから,False,True,4,,4,4,,
6,1,True,True,False,False,False,False,,False,True,4,,4,4,,
7,1,True,True,True,False,True,False,塩分をふくんでいる。,False,True,4,,4,4,,7
8,1,True,True,False,False,False,False,みその成分がとけているから,False,True,4,,4,4,,8
9,1,True,True,False,False,False,True,しおの成分が入っているから,False,True,4,,4,4,,9
10,1,True,True,True,True,True,False,しおの成分が入っているから,False,True,4,,4,4,,
11,1,True,True,True,True,True,False,塩分がとけて入っているから,False,True,4,,4,4,,
12,1,True,True,False,False,True,False,,False,True,4,,4,4,,
13,1,True,True,True,False,False,False,みそや塩が水に溶けているから。,False,True,4,,4,4,,13
14,1,True,True,False,False,False,False,,False,True,4,,4,4,,
15,1,True,True,False,False,False,False,みそがしょっぱいからそれをとかしてみそしるになる,False,True,4,,4,4,,
16,1,True,True,True,False,False,False,,False,True,4,,4,4,,
17,1,True,True,False,False,True,True,,False,True,4,,3,4,,色んな事が分かってよかった。前にやった授業だったのでおぼえてなかったけれど思い出し分かった。
18,1,True,False,False,False,True,True,塩がとけているから,False,True,4,,3,4,,18
19,1,True,True,False,False,False,False,みそに食塩が入っているから,True,True,4,,3,4,,19
20,1,True,True,False,False,False,True,みそがとけているから,False,True,4,,4,3,,20
21,1,True,True,False,False,False,False,しおがとけているから,False,True,4,,4,3,,21
22,1,True,True,False,False,True,True,みそがとけているから,False,True,3,,4,3,,
23,1,True,True,True,False,True,False,塩分をふくんでいるから。,False,True,4,,3,3,,23
24,1,True,True,False,False,False,False,ナトリウムが入っているから。,False,True,4,,4,4,,24
1,4,True,True,False,False,False,True,ナトリウムが入っているから。,False,True,4,,4,4,,
2,4,True,False,True,False,False,True,,False,True,4,,4,4,,
3,4,True,True,False,False,True,True,ナトリウムが入っているから,False,True,4,,4,4,,
4,4,True,True,False,False,True,True,ナトリウムのおかげ,False,True,4,,4,4,,
5,4,True,True,False,False,True,True,みそのしおがはいっていて、その中に、ナトリウムが入っているから,False,True,4,,4,4,,
6,4,True,True,False,False,False,False,ナトリウムが入っているから。,False,True,4,,4,4,,
7,4,True,True,False,False,True,False,,False,True,4,,4,4,,
8,4,True,True,False,False,False,False,みその中にあるナトリウムのせい,False,True,4,,4,4,,
9,4,True,,False,,False,,ナトリウムが入ってるから,False,True,4,,4,4,,9
10,4,True,True,True,True,True,False,塩化ナトリウムがおゆにとけているから,False,True,4,,4,4,,
11,4,True,True,False,False,True,False,,False,True,4,,4,4,,
12,4,True,,True,,True,False,ナトリウムがおゆにとけているから,False,True,4,,4,4,,
13,4,True,True,True,False,False,False,ナトリウムがはいっているから。,False,True,4,,4,4,,
14,4,True,True,False,False,False,False,,False,True,4,,4,4,,
15,4,True,True,False,False,False,False,ナトリウム Na,False,True,4,,4,4,,15
16,4,True,True,True,False,False,False,ナトリウムが入っているから,False,True,4,,4,4,,16
17,4,True,,False,,True,,ナトリウムが入っているから,False,True,4,,3,4,,
18,4,True,,False,False,True,True,ナトリウムNa,False,True,4,,3,4,,
19,4,True,True,False,False,False,False,ナトリウム(塩化)の成分がしょっぱい。,False,True,4,,3,4,,
20,4,True,True,False,False,True,True,ナトリウムが入っているから。,False,True,4,,4,3,,20
21,4,True,True,False,False,False,False,食塩ナトリウム,False,True,4,,4,3,,
22,4,True,True,False,False,True,True,ナトリウムがまざっていた,False,True,3,,4,3,,22
23,4,True,True,True,False,True,False,,False,True,4,,3,3,,23
24,4,True,True,False,False,False,False,ナトリウムがはいっているから,False,True,4,,4,4,,24
25,4,True,True,False,False,False,True,ナトリウムが入ってるから,False,True,2,,3,2,,28
1,2,True,True,True,False,True,False,,False,True,3,,2,3,,
2,2,True,True,False,False,True,False,みそに塩が入っているから,False,True,4,,4,3,,
3,2,True,True,False,False,False,False,,False,True,4,,4,3,,
4,2,True,True,False,False,False,False,塩が入っているから。,False,True,4,,4,3,,
5,2,False,True,True,True,True,True,,False,True,4,,4,2,,
6,2,True,True,False,False,False,True,塩分がとけているから,False,True,4,,3,4,,
7,2,True,True,False,False,True,,,True,False,4,,3,4,,
8,2,True,True,False,False,False,False,ナトリウムが入っているから。,False,True,4,,3,4,,
9,2,True,True,True,,True,,みそをいっぱい いれたから,False,True,4,,3,4,,
10,2,True,True,False,False,True,True,,False,True,4,,3,4,,
11,2,False,True,False,True,False,True,食塩が入っているから,False,False,3,,3,3,,
12,2,True,True,False,False,False,False,みその入れすぎ。,True,False,4,,3,3,,
13,2,False,True,False,True,False,False,みそに塩が入っているから,False,True,4,,3,3,,
14,2,True,True,False,False,False,False,みそに塩分がふくまれているから。,False,True,4,,3,3,,
15,2,True,True,False,False,False,False,みその中に塩が入っていて、汁にとけているから。,False,True,4,色の変化がおもしろかったです!,4,4,,
16,2,True,True,True,True,True,True,みその中にある塩分が水にとけたから,False,True,4,,4,4,,
17,2,True,True,False,False,False,False,食塩がはいっているから,False,True,4,,4,4,,
18,2,True,True,True,False,True,False,,False,True,4,,4,4,,
19,2,True,True,False,False,False,False,みその中にある塩が水に溶けたから。,False,True,4,おもしろかった,4,4,理解できた,
20,2,True,True,False,False,False,False,塩が入っているから,False,True,4,,4,4,,
21,2,True,True,False,False,True,False,塩分がみそにふくまれているから,False,True,4,,4,4,,
22,2,True,True,False,False,True,False,塩分がまざっているから,False,True,4,,4,4,,
23,2,True,True,False,False,True,False,みそが入っているから。,False,True,4,,4,4,言葉でのせつめいだけでなく実さいに実験でも見れたので分かりやすかったです。,
24,2,True,True,False,False,True,False,みそがとけているから。,False,True,4,,4,4,,
25,2,,,False,False,False,,塩分があったから,False,True,4,,4,4,,
26,2,True,True,False,False,True,False,みそに塩の成分が入っているから。,False,True,4,,4,4,,
1,3,True,True,False,False,False,True,ナトリウムがはいっているから,False,True,3,,3,4,,
2,3,True,True,False,False,False,False,ナトリウムが入っているから。,False,True,4,,4,4,,
3,3,True,True,False,False,True,True,ナトリウムが入っているから,False,True,4,,4,4,,
4,3,True,True,False,True,True,True,ナトリウムが入っているから,False,True,4,,4,4,,
5,3,True,True,False,False,False,False,,False,True,4,,4,4,,
6,3,True,True,False,False,False,True,,False,True,4,,4,4,,
7,3,True,True,False,False,True,True,ナトリウムがはいっているからだと思う,False,True,4,,4,4,,
8,3,True,True,False,False,False,True,ナトリウムがふくまれているから。,False,True,4,,4,4,,
9,3,True,True,False,False,False,True,ナトリウムがふくまれているため。,False,True,4,,4,4,,
10,3,True,True,False,False,True,,ナトリウムがはいっているから,False,True,4,,4,4,,
11,3,True,True,False,False,False,False,,False,True,4,,4,4,,
12,3,True,True,False,False,True,True,塩がはいっているから,,True,4,,4,4,,
13,3,True,True,False,False,True,False,,False,True,4,,4,4,,
14,3,True,True,False,False,True,True,ナトリウムが入っているからしょっぱい,False,True,4,,4,4,,
15,3,True,True,False,True,False,True,ナトリウムが入っているから,False,True,4,,4,4,,
16,3,True,True,False,False,False,False,ナトリウムが入っているから。,False,True,4,,4,4,,
17,3,True,True,False,False,False,False,ナトリウムがふくまれているから,False,True,4,,4,4,,
18,3,True,True,False,False,False,False,ナトリウムがある,False,True,3,,3,2,,
19,3,True,True,False,False,False,True,,False,True,1,,2,1,,
20,3,True,True,False,False,True,True,ナトリウムが入っているから,False,True,3,,3,3,,
21,3,True,True,False,False,True,True,ナトリウムが入っているから,False,True,3,,3,3,,
22,3,True,True,False,False,False,False,ナトリウムが入っているから,False,True,4,,3,3,,
23,3,,,False,False,,,塩が入っているから,False,True,4,,4,3,,
24,3,True,True,False,False,False,True,,False,True,4,,4,3,,
