整理番号,クラス,クイズ1（〇が1，×が0）,クイズ2,クイズ3,クイズ4,クイズ5,クイズ6,味噌汁記述,お茶クイズ1（いる1，いない0）,お茶クイズ2（いる1，いない0）
1,3.0,1.0,1.0,0.0,0.0,1.0,0.0,みその中に,0.0,0.0
2,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みそに塩が入っている,0.0,0.0
3,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みそに塩が入っているから,0.0,0.0
4,3.0,1.0,1.0,0.0,0.0,1.0,1.0,みそが入っているから,1.0,0.0
5,3.0,1.0,1.0,0.0,0.0,1.0,1.0,塩が使われているから,1.0,0.0
6,3.0,1.0,1.0,0.0,0.0,0.0,1.0,食塩が含まれているから,0.0,1.0
7,3.0,1.0,1.0,0.0,0.0,0.0,1.0,塩が溶けているから,0.0,1.0
8,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みその中にしょっぱくなる成分が入っているから,0.0,1.0
9,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みそを使っていて，塩も使っているから,0.0,1.0
10,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みそが入っているから,0.0,1.0
11,3.0,1.0,1.0,0.0,0.0,0.0,1.0,,0.0,1.0
12,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みその中に食塩が入っているから,0.0,1.0
13,3.0,1.0,1.0,0.0,0.0,0.0,1.0,みその中に食塩が入っている,0.0,1.0
14,3.0,1.0,1.0,0.0,1.0,0.0,1.0,塩が入っているから,0.0,1.0
15,3.0,1.0,1.0,0.0,0.0,1.0,1.0,食塩が入っているから,0.0,1.0
16,3.0,1.0,1.0,0.0,0.0,1.0,1.0,塩が入っているから,0.0,1.0
17,3.0,1.0,1.0,0.0,0.0,1.0,1.0,みそが入っているから,0.0,1.0
18,3.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,1.0
19,3.0,1.0,1.0,0.0,0.0,1.0,1.0,みそを入れているから,0.0,1.0
20,3.0,1.0,1.0,1.0,0.0,0.0,0.0,みそに塩が入っているから,0.0,1.0
21,3.0,1.0,1.0,1.0,0.0,0.0,0.0,塩を溶かして作っているから,0.0,1.0
22,3.0,1.0,1.0,0.0,0.0,0.0,0.0,塩が入っているから,0.0,1.0
23,3.0,1.0,1.0,0.0,0.0,0.0,0.0,食塩とみそが入っているから,0.0,1.0
24,3.0,1.0,1.0,0.0,0.0,0.0,0.0,みそが入っているから,0.0,1.0
1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,しょうゆなどがとけてしょっぱくなる。,0.0,
2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,
3,1.0,1.0,1.0,,0.0,0.0,0.0,みそが入っているから,,
4,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,
5,1.0,1.0,1.0,0.0,0.0,1.0,,みそが水にとける,,
6,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,,
7,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,
8,1.0,1.0,1.0,0.0,0.0,1.0,0.0,みそが入っているから,,
9,1.0,1.0,1.0,,,1.0,,,0.0,1.0
10,1.0,1.0,1.0,,,1.0,,,0.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0
12,1.0,1.0,1.0,0.0,0.0,0.0,1.0,たぶんみぞに塩がはいっているから,0.0,1.0
13,1.0,1.0,1.0,0.0,0.0,0.0,1.0,みそに塩が入っているからです。,0.0,1.0
14,1.0,1.0,1.0,0.0,,,1.0,塩が水に溶,0.0,1.0
15,1.0,1.0,1.0,1.0,0.0,1.0,0.0,はっこう食品だから,0.0,1.0
16,1.0,1.0,1.0,1.0,0.0,1.0,0.0,食分が入っているから,0.0,1.0
17,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,1.0
18,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,1.0
19,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,1.0,1.0
20,1.0,1.0,1.0,0.0,0.0,1.0,0.0,みそが入っているから。,1.0,1.0
21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,みそがしょっぱいから。,1.0,1.0
22,1.0,1.0,1.0,1.0,0.0,0.0,0.0,みそに食塩が入っているから,1.0,1.0
23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,みそがまざっているから,1.0,1.0
24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,？,0.0,1.0
49,4.0,1.0,1.0,1.0,0.0,0.0,0.0,みそ汁の中にみそを使っているから,0.0,0.0
50,4.0,1.0,1.0,1.0,0.0,0.0,0.0,みそ汁の中に入っているみそがしょっぱくて、そのしょっぱいのを水に溶かした物だと思う,0.0,0.0
51,4.0,1.0,1.0,0.0,0.0,0.0,1.0,みそがはいってるから,1.0,0.0
52,4.0,1.0,0.0,0.0,1.0,0.0,1.0,みそのせいぶんのさんみが強い,0.0,1.0
53,4.0,1.0,0.0,0.0,1.0,0.0,1.0,目に見えない小さい塩の粒がとけているから,0.0,1.0
54,4.0,1.0,1.0,1.0,1.0,0.0,1.0,みその中に食塩が入っているから,0.0,1.0
55,4.0,1.0,1.0,0.0,0.0,0.0,1.0,みそしるに入っているみそに塩が入っているから,0.0,1.0
56,4.0,1.0,1.0,1.0,0.0,0.0,1.0,塩が入っているから,0.0,1.0
57,4.0,1.0,0.0,0.0,1.0,1.0,1.0,大豆としょうゆをまぜたものだから,0.0,1.0
58,4.0,1.0,1.0,0.0,0.0,1.0,1.0,みそしるにはいっているみそは、同じ大豆でできているしょうゆがしょっぱいから,0.0,1.0
59,4.0,1.0,1.0,0.0,1.0,0.0,0.0,みそが入っているから。,0.0,1.0
60,4.0,1.0,1.0,0.0,1.0,0.0,0.0,みそが入っていて、みその中に食塩が入っているから,0.0,1.0
61,4.0,1.0,1.0,0.0,0.0,0.0,0.0,味のあるみそが水にとけているから,0.0,1.0
62,4.0,1.0,1.0,0.0,0.0,0.0,0.0,みそをいれているから,0.0,1.0
63,4.0,1.0,1.0,0.0,0.0,0.0,0.0,みそに塩が入っているから,0.0,1.0
64,4.0,1.0,1.0,1.0,0.0,0.0,0.0,えんぶんが多いものがふくまれているから,0.0,1.0
65,4.0,1.0,1.0,1.0,1.0,1.0,0.0,なし,0.0,1.0
66,4.0,1.0,1.0,1.0,1.0,1.0,0.0,みそのしょっぱさだけがしるにしみているから,0.0,1.0
67,4.0,1.0,1.0,0.0,0.0,1.0,0.0,みそが入っているから。,0.0,1.0
68,4.0,1.0,1.0,0.0,0.0,1.0,0.0,みそがはいっているから,0.0,1.0
69,4.0,1.0,1.0,0.0,0.0,1.0,0.0,みそがこいから,0.0,1.0
70,4.0,1.0,1.0,0.0,0.0,1.0,0.0,みそに塩が入っているからです。,0.0,1.0
71,4.0,1.0,1.0,1.0,0.0,1.0,0.0,食塩水をベースで作ったから,0.0,1.0
72,4.0,1.0,1.0,0.0,0.0,1.0,0.0,みそがしょっぱいから。,0.0,1.0
73,4.0,1.0,1.0,1.0,0.0,1.0,0.0,みそが入っていてみそはしょっぱいからしょっぱいとおもった,0.0,1.0
1,2.0,1.0,1.0,0.0,0.0,1.0,0.0,みそに塩の成分が入っているから。,,
2,2.0,1.0,1.0,0.0,0.0,1.0,0.0,塩分がたくさん含まれているから,,
3,2.0,1.0,1.0,0.0,0.0,0.0,0.0,みその中に塩が入ってるから。,,
4,2.0,1.0,1.0,0.0,0.0,0.0,0.0,食塩がはいるから,,
5,2.0,1.0,1.0,1.0,0.0,1.0,0.0,みそから出た成分がとけてしょっぱくなる。,,
6,2.0,1.0,1.0,1.0,0.0,1.0,0.0,みそがとけたから,,
7,2.0,1.0,1.0,0.0,0.0,1.0,0.0,みそがとけたから。,,
8,2.0,1.0,1.0,0.0,0.0,1.0,0.0,みそがはいっているから,,
9,2.0,1.0,1.0,0.0,0.0,1.0,0.0,みそが入っているから。,,
10,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
11,2.0,1.0,1.0,0.0,0.0,0.0,0.0,みそに塩分がふくまれているから。,,
12,2.0,1.0,1.0,0.0,0.0,0.0,0.0,塩が入っているから。,,
13,2.0,1.0,1.0,0.0,0.0,1.0,1.0,,,
14,2.0,0.0,1.0,1.0,1.0,1.0,1.0,みそしるのつくりかたがちがうから,,
15,2.0,1.0,1.0,1.0,1.0,1.0,1.0,みその中にある塩分が水にとけているから,,
16,2.0,1.0,1.0,0.0,1.0,1.0,1.0,みそに塩が入っているから。,,
17,2.0,1.0,1.0,0.0,0.0,0.0,1.0,塩が入っているから,,
18,2.0,1.0,1.0,0.0,0.0,0.0,1.0,みそに塩が入っているから,,
19,2.0,1.0,1.0,0.0,0.0,0.0,1.0,塩が入っているから,,
20,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,,
21,2.0,1.0,1.0,0.0,0.0,0.0,0.0,みその中に入っている塩が水に溶けているから。,,
22,2.0,1.0,1.0,0.0,0.0,1.0,0.0,塩分がまざっているから,,
23,2.0,1.0,1.0,0.0,0.0,0.0,0.0,みその入れすぎ。,,
24,2.0,1.0,1.0,0.0,0.0,1.0,1.0,塩が入っているから。,,
25,2.0,1.0,1.0,0.0,0.0,0.0,1.0,塩が入っているから,,
26,2.0,1.0,1.0,0.0,0.0,0.0,1.0,下に塩がたまるから,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
